Cys1_start_age,Cys1_end_age,range,n,Cys3_age_range,Cys3_mean_age,Cys3_med_age,death2018_n,death2018_p,death2018_age_range,OR,CI
68,76,8,876,"[75, 85]",79.44977169,79,148,0.17,"[76, 88]",2.5,"[1.58, 4.03]"
69,77,8,806,"[76, 86]",80.28784119,80,148,0.18,"[78, 90]",2.1,"[1.32, 3.4]"
70,78,8,750,"[77, 87]",81.328,81,155,0.21,"[79, 90]",1.7,"[1.1, 2.68]"
71,79,8,675,"[78, 88]",82.32444444,82,155,0.23,"[79, 92]",1.68,"[1.08, 2.64]"
60,69,9,1106,"[67, 78]",72.68625678,73,103,0.09,"[68, 82]",3.36,"[2.09, 5.64]"
61,70,9,1140,"[68, 79]",73.62982456,74,115,0.1,"[70, 83]",3.02,"[1.93, 4.94]"
62,71,9,1152,"[69, 80]",74.45659722,74,125,0.11,"[71, 84]",2.22,"[1.54, 3.41]"
63,72,9,1143,"[70, 81]",75.30271216,75,137,0.12,"[71, 85]",2.02,"[1.39, 3.08]"
64,73,9,1129,"[71, 82]",76.15411869,76,140,0.12,"[72, 86]",2.05,"[1.32, 3.22]"
65,74,9,1099,"[72, 83]",77.04640582,77,153,0.14,"[74, 87]",1.9,"[1.24, 2.96]"
66,75,9,1031,"[73, 84]",78.08923375,78,158,0.15,"[74, 87]",1.93,"[1.27, 2.97]"
67,76,9,981,"[74, 85]",78.96941896,79,165,0.17,"[75, 88]",2.13,"[1.4, 3.26]"
68,77,9,924,"[75, 86]",79.73484848,79,163,0.18,"[76, 90]",2.39,"[1.53, 3.8]"
69,78,9,872,"[76, 87]",80.70986239,80,171,0.2,"[78, 90]",1.83,"[1.2, 2.85]"
70,79,9,797,"[77, 88]",81.6574655,81,169,0.21,"[79, 92]",1.61,"[1.05, 2.49]"
71,80,9,706,"[78, 89]",82.56232295,82,167,0.24,"[79, 93]",1.8,"[1.17, 2.82]"
60,70,10,1228,"[67, 79]",73.21091205,73,117,0.1,"[68, 83]",3.01,"[1.94, 4.88]"
61,71,10,1241,"[68, 80]",74.06043513,74,133,0.11,"[70, 84]",2.35,"[1.63, 3.6]"
62,72,10,1244,"[69, 81]",74.86093248,75,142,0.11,"[71, 85]",2.19,"[1.54, 3.29]"
63,73,10,1233,"[70, 82]",75.71370641,76,148,0.12,"[71, 86]",2.11,"[1.46, 3.19]"
64,74,10,1215,"[71, 83]",76.55884774,76,166,0.14,"[72, 87]",2.07,"[1.36, 3.18]"
65,75,10,1179,"[72, 84]",77.44529262,77,170,0.14,"[74, 87]",1.99,"[1.31, 3.04]"
66,76,10,1096,"[73, 85]",78.4370438,78,172,0.16,"[74, 88]",2.19,"[1.46, 3.32]"
67,77,10,1029,"[74, 86]",79.24781341,79,180,0.17,"[75, 90]",2.07,"[1.37, 3.14]"
68,78,10,990,"[75, 87]",80.14343434,80,186,0.19,"[76, 90]",2.07,"[1.37, 3.17]"
69,79,10,919,"[76, 88]",81.02720348,81,185,0.2,"[78, 92]",1.73,"[1.15, 2.65]"
70,80,10,828,"[77, 89]",81.8852657,82,181,0.22,"[79, 93]",1.72,"[1.14, 2.66]"
71,81,10,746,"[78, 89]",82.89276139,82,184,0.25,"[79, 93]",1.9,"[1.25, 2.94]"
