Cys1_start_age,Cys1_end_age,range,n,Cys3_age_range,Cys3_mean_age,Cys3_med_age,death2018_n,death2018_p,death2018_age_range,RR,CI_RR
67,76,9,981,"[74, 85]",78.96941896024465,79,165,0.17,"[75, 88]",NA,NA
68,77,9,924,"[75, 86]",79.73484848484848,79,163,0.18,"[76, 90]",NA,NA
69,78,9,872,"[76, 87]",80.7098623853211,80,171,0.2,"[78, 90]",NA,NA
70,79,9,797,"[77, 88]",81.65746549560853,81,169,0.21,"[79, 92]",NA,NA
71,80,9,706,"[78, 89]",82.56232294617564,82,167,0.24,"[79, 93]",NA,NA
60,70,10,1228,"[67, 79]",73.21091205211727,73,117,0.1,"[68, 83]",NA,NA
61,71,10,1241,"[68, 80]",74.0604351329573,74,133,0.11,"[70, 84]",NA,NA
62,72,10,1244,"[69, 81]",74.86093247588424,75,142,0.11,"[71, 85]",NA,NA
63,73,10,1233,"[70, 82]",75.71370640713707,76,148,0.12,"[71, 86]",NA,NA
64,74,10,1215,"[71, 83]",76.55884773662551,76,166,0.14,"[72, 87]",NA,NA
65,75,10,1179,"[72, 84]",77.44529262086515,77,170,0.14,"[74, 87]",NA,NA
66,76,10,1096,"[73, 85]",78.43704379562044,78,172,0.16,"[74, 88]",NA,NA
67,77,10,1029,"[74, 86]",79.24781341107872,79,180,0.17,"[75, 90]",NA,NA
68,78,10,990,"[75, 87]",80.14343434343435,80,186,0.19,"[76, 90]",NA,NA
69,79,10,919,"[76, 88]",81.0272034820457,81,185,0.2,"[78, 92]",NA,NA
70,80,10,828,"[77, 89]",81.88526570048309,82,181,0.22,"[79, 93]",NA,NA
71,81,10,746,"[78, 89]",82.89276139410188,82,184,0.25,"[79, 93]",NA,NA
